,state,city,cityPopulation,populationBySex,medianAge,zipCodes,medianIncome,costOfLiving
,California,Healdsburg-California.html,"Population in 2017: 11,840 (100% urban, 0% rural). Population change since 2000: +10.4%
 

","Males: 5,734  (48.4%)Females: 6,106  (51.6%)",Median resident age:45.0 yearsCalifornia median age:36.5 years,Zip codes: 95448.,"Estimated median household income in 2017: $87,309 (it was $48,995 in 2000)
Healdsburg:$87,309CA:$71,805
Estimated per capita income in 2017: $50,982 (it was $22,245 in 2000)
Healdsburg city income, earnings, and wages data
Estimated median house or condo value in 2017: $792,815 (it was $258,100 in 2000)
Healdsburg:$792,815CA:$509,400
Mean prices in 2017: all housing units: $715,198; detached houses: $781,248; townhouses or other attached units: $595,954; in 2-unit structures: $362,393; in 3-to-4-unit structures: $367,270; in 5-or-more-unit structures: $623,855; mobile homes: $93,639; occupied boats, rvs, vans, etc.: $94,054","March 2019 cost of living index in Healdsburg: 150.9 (very high, U.S. average is 100)"
,California,Walnut-California.html,"Population in 2017: 30,199 (100% urban, 0% rural). Population change since 2000: +0.6%
 

","Males: 15,088  (50.0%)Females: 15,111  (50.0%)",Median resident age:44.7 yearsCalifornia median age:36.5 years,Zip codes: 91789.,"Estimated median household income in 2017: $104,761 (it was $81,015 in 2000)
Walnut:$104,761CA:$71,805
Estimated per capita income in 2017: $38,695 (it was $25,196 in 2000)
Walnut city income, earnings, and wages data
Estimated median house or condo value in 2017: $835,674 (it was $280,300 in 2000)
Walnut:$835,674CA:$509,400
Mean prices in 2017: all housing units: $931,472; detached houses: $940,185; townhouses or other attached units: $723,385; in 5-or-more-unit structures: $290,092","March 2019 cost of living index in Walnut: 141.6 (very high, U.S. average is 100)"
,California,Monterey-California.html,"Population in 2017: 28,639 (100% urban, 0% rural). Population change since 2000: -3.5%
 

","Males: 15,000  (52.4%)Females: 13,639  (47.6%)",Median resident age:38.3 yearsCalifornia median age:36.5 years,Zip codes: 93943.,"Estimated median household income in 2017: $83,324 (it was $49,109 in 2000)
Monterey:$83,324CA:$71,805
Estimated per capita income in 2017: $43,123 (it was $27,133 in 2000)
Monterey city income, earnings, and wages data
Estimated median house or condo value in 2017: $816,496 (it was $392,200 in 2000)
Monterey:$816,496CA:$509,400
Mean prices in 2017: all housing units: $902,360; detached houses: $994,944; townhouses or other attached units: $739,111; in 2-unit structures: $342,179; in 3-to-4-unit structures: $143,110; in 5-or-more-unit structures: $287,081; mobile homes: $108,099","March 2019 cost of living index in Monterey: 114.7 (more than average, U.S. average is 100)"
,California,Moreno-Valley-California.html,"Population in 2017: 207,226 (99% urban, 1% rural). Population change since 2000: +45.5%","Males: 102,335  (49.4%)Females: 104,891  (50.6%)",Median resident age:30.5 yearsCalifornia median age:36.5 years,"Zip codes: 92551, 92555.Moreno Valley Zip Code Map","Estimated median household income in 2017: $62,198 (it was $47,387 in 2000)
Moreno Valley:$62,198CA:$71,805
Estimated per capita income in 2017: $20,056 (it was $14,983 in 2000)
Moreno Valley city income, earnings, and wages data
Estimated median house or condo value in 2017: $305,900 (it was $117,800 in 2000)
Moreno Valley:$305,900CA:$509,400
Mean prices in 2017: all housing units: $306,648; detached houses: $312,801; townhouses or other attached units: $351,779; in 2-unit structures: over $1,000,000; in 3-to-4-unit structures: $221,744; in 5-or-more-unit structures: $179,143; mobile homes: $56,002","March 2019 cost of living index in Moreno Valley: 81.7 (low, U.S. average is 100)"
,California,Palomar-Julian-California.html,"Population in July 2007: 6,523.","Males: 3,209  (49.2%)Females: 3,314  (50.8%)",Median resident age:44.4 yearsCalifornia median age:33.3 years,Zip code: 92070,"Estimated median household income in 2017: $67,624 (it was $41,766 in 2000)
Palomar-Julian:$67,624CA:$71,805
Estimated per capita income in 2017: $37,728 (it was $23,570 in 2000)
Palomar-Julian CCD income, earnings, and wages data
Estimated median house or condo value in 2017: $480,028 (it was $180,500 in 2000)
Palomar-Julian:$480,028CA:$509,400
Mean prices in 2017: all housing units: $653,190; detached houses: $727,414; townhouses or other attached units: $530,871; in 2-unit structures: $524,355; in 3-to-4-unit structures: $400,685; in 5-or-more-unit structures: $451,263; mobile homes: $122,370; occupied boats, rvs, vans, etc.: $29,009","March 2019 cost of living index in Palomar-Julian: 136.3 (high, U.S. average is 100)"
,California,West-Whittier-Los-Nietos-California.html,"Population in 2010: 25,540. Population change since 2000: +1.6%","Males: 13,083  (51.2%)Females: 12,457  (48.8%)",Median resident age:38.0 yearsCalifornia median age:36.5 years,Zip codes: 90606.,"Estimated median household income in 2017: $72,427 (it was $45,921 in 2000)
West Whittier-Los Nietos:$72,427CA:$71,805
Estimated per capita income in 2017: $24,050 (it was $14,417 in 2000)
West Whittier-Los Nietos CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $463,076 (it was $164,800 in 2000)
West Whittier-Los Nietos:$463,076CA:$509,400
Mean prices in 2017: all housing units: $432,718; detached houses: $442,238; townhouses or other attached units: $457,593; in 2-unit structures: over $1,000,000; in 5-or-more-unit structures: $307,979; mobile homes: $101,121","March 2019 cost of living index in West Whittier-Los Nietos: 138.3 (high, U.S. average is 100)"
,California,West-Carson-California.html,"Population in 2010: 21,699. Population change since 2000: +2.7%","Males: 10,897  (50.2%)Females: 10,802  (49.8%)",Median resident age:45.5 yearsCalifornia median age:36.5 years,Zip codes: 90502.,"Estimated median household income in 2017: $72,976 (it was $49,118 in 2000)
West Carson:$72,976CA:$71,805
Estimated per capita income in 2017: $31,328 (it was $21,023 in 2000)
West Carson CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $494,897 (it was $175,300 in 2000)
West Carson:$494,897CA:$509,400
Mean prices in 2017: all housing units: $446,991; detached houses: $549,141; townhouses or other attached units: $400,974; in 3-to-4-unit structures: $373,299; in 5-or-more-unit structures: $273,989; mobile homes: $103,205","March 2019 cost of living index in West Carson: 138.4 (high, U.S. average is 100)"
,California,West-Covina-California.html,"Population in 2017: 107,598 (100% urban, 0% rural). Population change since 2000: +2.4%
 

","Males: 53,504  (49.7%)Females: 54,094  (50.3%)",Median resident age:37.0 yearsCalifornia median age:36.5 years,Zip codes: 91790.,"Estimated median household income in 2017: $81,170 (it was $53,002 in 2000)
West Covina:$81,170CA:$71,805
Estimated per capita income in 2017: $30,813 (it was $19,342 in 2000)
West Covina city income, earnings, and wages data
Estimated median house or condo value in 2017: $559,200 (it was $188,400 in 2000)
West Covina:$559,200CA:$509,400
Mean prices in 2017: all housing units: $550,221; detached houses: $575,546; townhouses or other attached units: $379,730; in 2-unit structures: $633,378; in 3-to-4-unit structures: $242,381; in 5-or-more-unit structures: $557,713; mobile homes: $49,174","March 2019 cost of living index in West Covina: 138.2 (high, U.S. average is 100)"
,California,Vista-California.html,"Population in 2017: 101,568 (100% urban, 0% rural). Population change since 2000: +13.0%
 

","Males: 52,308  (51.5%)Females: 49,260  (48.5%)",Median resident age:34.4 yearsCalifornia median age:36.5 years,Zip codes: 92083.,"Estimated median household income in 2017: $68,130 (it was $42,594 in 2000)
Vista:$68,130CA:$71,805
Estimated per capita income in 2017: $26,993 (it was $18,027 in 2000)
Vista city income, earnings, and wages data
Estimated median house or condo value in 2017: $478,000 (it was $188,700 in 2000)
Vista:$478,000CA:$509,400
Mean prices in 2017: all housing units: $481,645; detached houses: $532,791; townhouses or other attached units: $388,302; in 3-to-4-unit structures: $378,032; in 5-or-more-unit structures: $305,981; mobile homes: $101,713","March 2019 cost of living index in Vista: 138.1 (high, U.S. average is 100)"
,California,Watsonville-California.html,"Population in 2017: 54,098 (100% urban, 0% rural). Population change since 2000: +22.2%
 

","Males: 28,023  (51.8%)Females: 26,075  (48.2%)",Median resident age:30.1 yearsCalifornia median age:36.5 years,Zip codes: 95076.,"Estimated median household income in 2017: $55,776 (it was $37,617 in 2000)
Watsonville:$55,776CA:$71,805
Estimated per capita income in 2017: $20,644 (it was $13,205 in 2000)
Watsonville city income, earnings, and wages data
Estimated median house or condo value in 2017: $467,302 (it was $207,300 in 2000)
Watsonville:$467,302CA:$509,400
Mean prices in 2017: all housing units: $408,647; detached houses: $451,298; townhouses or other attached units: $442,660; in 2-unit structures: $169,272; in 3-to-4-unit structures: $443,320; in 5-or-more-unit structures: $226,367; mobile homes: $104,288","March 2019 cost of living index in Watsonville: 157.7 (very high, U.S. average is 100)"
,California,Yreka-California.html,"Population in 2017: 7,600 (92% urban, 8% rural). Population change since 2000: +4.3%
 

","Males: 3,374  (44.4%)Females: 4,226  (55.6%)",Median resident age:37.0 yearsCalifornia median age:36.5 years,Zip codes: 96097.,"Estimated median household income in 2017: $34,930 (it was $27,398 in 2000)
Yreka:$34,930CA:$71,805
Estimated per capita income in 2017: $22,656 (it was $16,664 in 2000)
Yreka city income, earnings, and wages data
Estimated median house or condo value in 2017: $170,374 (it was $92,800 in 2000)
Yreka:$170,374CA:$509,400
Mean prices in 2017: all housing units: $354,145; detached houses: $384,851; townhouses or other attached units: $362,314; in 2-unit structures: $207,654; in 3-to-4-unit structures: $512,769; in 5-or-more-unit structures: $582,845; mobile homes: $153,325; occupied boats, rvs, vans, etc.: $457,686","March 2019 cost of living index in Yreka: 91.3 (less than average, U.S. average is 100)"
,California,Victorville-California.html,"Population in 2017: 122,441 (99% urban, 1% rural). Population change since 2000: +91.2%","Males: 60,574  (49.5%)Females: 61,867  (50.5%)",Median resident age:33.3 yearsCalifornia median age:36.5 years,Zip codes: 92392.,"Estimated median household income in 2017: $50,997 (it was $36,187 in 2000)
Victorville:$50,997CA:$71,805
Estimated per capita income in 2017: $20,086 (it was $14,454 in 2000)
Victorville city income, earnings, and wages data
Estimated median house or condo value in 2017: $221,500 (it was $95,600 in 2000)
Victorville:$221,500CA:$509,400
Mean prices in 2017: all housing units: $352,001; detached houses: $373,576; townhouses or other attached units: $338,422; in 2-unit structures: $256,230; in 3-to-4-unit structures: $246,237; in 5-or-more-unit structures: $285,622; mobile homes: $71,759; occupied boats, rvs, vans, etc.: $4,265","March 2019 cost of living index in Victorville: 80.5 (low, U.S. average is 100)"
,California,Orosi-California.html,"Population in July 2007: 8,262.","Males: 4,361  (52.8%)Females: 3,901  (47.2%)",Median resident age:25.5 yearsCalifornia median age:33.3 years,Zip codes: 93647.,"Estimated median household income in 2017: $41,388 (it was $30,400 in 2000)
Orosi:$41,388CA:$71,805
Estimated per capita income in 2017: $11,149 (it was $7,928 in 2000)
Orosi CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $181,224 (it was $85,600 in 2000)
Orosi:$181,224CA:$509,400
Mean prices in 2017: all housing units: $249,700; detached houses: $257,903; townhouses or other attached units: $216,678; in 2-unit structures: $218,525; in 3-to-4-unit structures: $280,208; in 5-or-more-unit structures: $351,046; mobile homes: $108,033; occupied boats, rvs, vans, etc.: $15,402","March 2019 cost of living index in Orosi: 93.5 (less than average, U.S. average is 100)"
,California,Granite-Bay-California.html,"Population in 2010: 20,402. Population change since 2000: +5.2%","Males: 10,113  (49.6%)Females: 10,289  (50.4%)",Median resident age:46.8 yearsCalifornia median age:36.5 years,"Zip codes: 95650, 95661, 95746.Granite Bay Zip Code Map","Estimated median household income in 2017: $125,611 (it was $98,762 in 2000)
Granite Bay:$125,611CA:$71,805
Estimated per capita income in 2017: $63,561 (it was $46,140 in 2000)
Granite Bay CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $790,489 (it was $391,100 in 2000)
Granite Bay:$790,489CA:$509,400
Mean prices in 2017: all housing units: $844,461; detached houses: $869,228; townhouses or other attached units: $502,218; mobile homes: $56,796","March 2019 cost of living index in Granite Bay: 104.7 (near average, U.S. average is 100)"
,California,Visalia-California.html,"Population in 2017: 133,010 (100% urban, 0% rural). Population change since 2000: +45.3%","Males: 62,011  (46.6%)Females: 70,999  (53.4%)",Median resident age:31.2 yearsCalifornia median age:36.5 years,Zip codes: 93277.,"Estimated median household income in 2017: $64,482 (it was $41,349 in 2000)
Visalia:$64,482CA:$71,805
Estimated per capita income in 2017: $27,346 (it was $18,422 in 2000)
Visalia city income, earnings, and wages data
Estimated median house or condo value in 2017: $233,900 (it was $112,200 in 2000)
Visalia:$233,900CA:$509,400
Mean prices in 2017: all housing units: $273,714; detached houses: $282,337; townhouses or other attached units: $174,821; in 2-unit structures: $98,720; in 3-to-4-unit structures: $251,979; in 5-or-more-unit structures: $476,352; mobile homes: $51,650","March 2019 cost of living index in Visalia: 87.8 (less than average, U.S. average is 100)"
,California,Casa-de-Oro-Mount-Helix-California.html,"Population in 2010: 18,762. Population change since 2000: -0.6%","Males: 9,199  (49.0%)Females: 9,563  (51.0%)",Median resident age:44.7 yearsCalifornia median age:36.5 years,"Zip codes: 91941, 91977.Casa de Oro-Mount Helix Zip Code Map","Estimated median household income in 2017: $94,954 (it was $60,387 in 2000)
Casa de Oro-Mount Helix:$94,954CA:$71,805
Estimated per capita income in 2017: $43,309 (it was $33,565 in 2000)
Casa de Oro-Mount Helix CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $724,952 (it was $307,300 in 2000)
Casa de Oro-Mount Helix:$724,952CA:$509,400
Mean prices in 2017: all housing units: $653,190; detached houses: $727,414; townhouses or other attached units: $530,871; in 2-unit structures: $524,355; in 3-to-4-unit structures: $400,685; in 5-or-more-unit structures: $451,263; mobile homes: $122,370; occupied boats, rvs, vans, etc.: $29,009","March 2019 cost of living index in Casa de Oro-Mount Helix: 137.7 (high, U.S. average is 100)"
,California,Windsor-California.html,"Population in 2017: 27,548 (100% urban, 0% rural). Population change since 2000: +21.1%
 

","Males: 13,937  (50.6%)Females: 13,611  (49.4%)",Median resident age:41.3 yearsCalifornia median age:36.5 years,Zip codes: 95492.,"Estimated median household income in 2017: $101,991 (it was $63,252 in 2000)
Windsor:$101,991CA:$71,805
Estimated per capita income in 2017: $39,365 (it was $24,336 in 2000)
Windsor town income, earnings, and wages data
Estimated median house or condo value in 2017: $617,627 (it was $257,100 in 2000)
Windsor:$617,627CA:$509,400
Mean prices in 2017: all housing units: $715,198; detached houses: $781,248; townhouses or other attached units: $595,954; in 2-unit structures: $362,393; in 3-to-4-unit structures: $367,270; in 5-or-more-unit structures: $623,855; mobile homes: $93,639; occupied boats, rvs, vans, etc.: $94,054","March 2019 cost of living index in Windsor: 143.5 (very high, U.S. average is 100)"
,California,Pine-Grove-Silver-Lake-California.html,"Population in July 2007: 10,703.","Males: 5,417  (50.6%)Females: 5,286  (49.4%)",Median resident age:48.8 yearsCalifornia median age:33.3 years,Zip code: 95223,"Estimated median household income in 2017: $64,166 (it was $41,853 in 2000)
Pine Grove-Silver Lake:$64,166CA:$71,805
Estimated per capita income in 2017: $31,764 (it was $22,713 in 2000)
Pine Grove-Silver Lake CCD income, earnings, and wages data
Estimated median house or condo value in 2017: $311,323 (it was $149,500 in 2000)
Pine Grove-Silver Lake:$311,323CA:$509,400","March 2019 cost of living index in Pine Grove-Silver Lake: 104.2 (near average, U.S. average is 100)"
,California,Yucca-Valley-California.html,"Population in 2017: 21,748 (85% urban, 15% rural). Population change since 2000: +29.0%","Males: 10,445  (48.0%)Females: 11,303  (52.0%)",Median resident age:43.0 yearsCalifornia median age:36.5 years,Zip codes: 92284.,"Estimated median household income in 2017: $46,965 (it was $30,420 in 2000)
Yucca Valley:$46,965CA:$71,805
Estimated per capita income in 2017: $24,803 (it was $16,020 in 2000)
Yucca Valley town income, earnings, and wages data
Estimated median house or condo value in 2017: $187,078 (it was $78,300 in 2000)
Yucca Valley:$187,078CA:$509,400
Mean prices in 2017: all housing units: $235,940; detached houses: $262,247; townhouses or other attached units: $295,591; mobile homes: $29,061","March 2019 cost of living index in Yucca Valley: 80.6 (low, U.S. average is 100)"
,California,Atascadero-California.html,"Population in 2017: 30,418 (89% urban, 11% rural). Population change since 2000: +15.2%
 

","Males: 15,269  (50.2%)Females: 15,149  (49.8%)",Median resident age:38.8 yearsCalifornia median age:36.5 years,"Zip codes: 93422, 93465.Atascadero Zip Code Map","Estimated median household income in 2017: $77,300 (it was $48,725 in 2000)
Atascadero:$77,300CA:$71,805
Estimated per capita income in 2017: $38,269 (it was $20,029 in 2000)
Atascadero city income, earnings, and wages data
Estimated median house or condo value in 2017: $498,664 (it was $195,900 in 2000)
Atascadero:$498,664CA:$509,400
Mean prices in 2017: all housing units: $633,127; detached houses: $700,236; townhouses or other attached units: $432,012; in 2-unit structures: $612,613; in 3-to-4-unit structures: $327,744; in 5-or-more-unit structures: $290,127; mobile homes: $234,983; occupied boats, rvs, vans, etc.: $213,410","March 2019 cost of living index in Atascadero: 106.0 (more than average, U.S. average is 100)"
,California,North-Highlands-California.html,"Population in 2010: 42,694. Population change since 2000: -3.4%","Males: 20,527  (48.1%)Females: 22,167  (51.9%)",Median resident age:31.7 yearsCalifornia median age:36.5 years,Zip codes: 95660.,"Estimated median household income in 2017: $43,239 (it was $32,278 in 2000)
North Highlands:$43,239CA:$71,805
Estimated per capita income in 2017: $18,927 (it was $14,109 in 2000)
North Highlands CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $198,324 (it was $93,100 in 2000)
North Highlands:$198,324CA:$509,400
Mean prices in 2017: all housing units: $381,137; detached houses: $400,206; townhouses or other attached units: $280,435; in 2-unit structures: $334,868; in 3-to-4-unit structures: $257,611; in 5-or-more-unit structures: $275,727; mobile homes: $81,002; occupied boats, rvs, vans, etc.: $41,310","March 2019 cost of living index in North Highlands: 100.8 (near average, U.S. average is 100)"
,California,Hercules-California.html,"Population in 2017: 25,545 (100% urban, 0% rural). Population change since 2000: +31.1%","Males: 12,268  (48.0%)Females: 13,277  (52.0%)",Median resident age:40.8 yearsCalifornia median age:36.5 years,"Zip codes: 94547, 94572.Hercules Zip Code Map","Estimated median household income in 2017: $115,564 (it was $75,196 in 2000)
Hercules:$115,564CA:$71,805
Estimated per capita income in 2017: $44,777 (it was $27,699 in 2000)
Hercules city income, earnings, and wages data
Estimated median house or condo value in 2017: $562,366 (it was $231,800 in 2000)
Hercules:$562,366CA:$509,400
Mean prices in 2017: all housing units: $724,845; detached houses: $775,881; townhouses or other attached units: $546,092; in 2-unit structures: $528,297; in 3-to-4-unit structures: $486,642; in 5-or-more-unit structures: $391,975; mobile homes: $74,753; occupied boats, rvs, vans, etc.: $134,580","March 2019 cost of living index in Hercules: 143.1 (very high, U.S. average is 100)"
,California,Yuba-City-California.html,"Population in 2017: 66,860 (100% urban, 0% rural). Population change since 2000: +81.9%","Males: 34,001  (50.9%)Females: 32,859  (49.1%)",Median resident age:34.5 yearsCalifornia median age:36.5 years,Zip codes: 95991.,"Estimated median household income in 2017: $51,497 (it was $32,858 in 2000)
Yuba City:$51,497CA:$71,805
Estimated per capita income in 2017: $23,421 (it was $15,928 in 2000)
Yuba City city income, earnings, and wages data
Estimated median house or condo value in 2017: $274,800 (it was $112,300 in 2000)
Yuba City:$274,800CA:$509,400
Mean prices in 2017: all housing units: $288,236; detached houses: $302,784; townhouses or other attached units: $324,247; in 2-unit structures: over $1,000,000; in 3-to-4-unit structures: $65,921; in 5-or-more-unit structures: $126,878; mobile homes: $46,317; occupied boats, rvs, vans, etc.: $19,531","March 2019 cost of living index in Yuba City: 93.5 (less than average, U.S. average is 100)"
,California,Phelan-California.html,"Population in 2010: 14,304.","Males: 7,232  (50.6%)Females: 7,072  (49.4%)",Median resident age:40.2 yearsCalifornia median age:36.5 years,NaN,"Estimated median household income in 2017: $60,420
Phelan:$60,420CA:$71,805
Estimated per capita income in 2017: $23,666
Phelan CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $326,600
Phelan:$326,600CA:$509,400
Mean prices in 2017: all housing units: $234,616; detached houses: $269,923; mobile homes: $104,996","March 2019 cost of living index in Phelan: 72.9 (low, U.S. average is 100)"
,California,Whittier-California.html,"Population in 2017: 86,838 (100% urban, 0% rural). Population change since 2000: +3.8%
 

","Males: 41,876  (48.2%)Females: 44,962  (51.8%)",Median resident age:35.4 yearsCalifornia median age:36.5 years,Zip codes: 90603.,"Estimated median household income in 2017: $66,525 (it was $49,256 in 2000)
Whittier:$66,525CA:$71,805
Estimated per capita income in 2017: $27,996 (it was $21,409 in 2000)
Whittier city income, earnings, and wages data
Estimated median house or condo value in 2017: $581,300 (it was $209,800 in 2000)
Whittier:$581,300CA:$509,400
Mean prices in 2017: all housing units: $627,206; detached houses: $641,369; townhouses or other attached units: $525,176; in 2-unit structures: $707,846; in 3-to-4-unit structures: $653,526; in 5-or-more-unit structures: $329,339; mobile homes: $55,955","March 2019 cost of living index in Whittier: 140.8 (very high, U.S. average is 100)"
,California,Orange-California.html,"Population in 2017: 140,560 (100% urban, 0% rural). Population change since 2000: +9.1%
 

","Males: 69,869  (49.7%)Females: 70,691  (50.3%)",Median resident age:35.2 yearsCalifornia median age:36.5 years,"Zip codes: 92861, 92865, 92866.Orange Zip Code Map","Estimated median household income in 2017: $91,092 (it was $58,994 in 2000)
Orange:$91,092CA:$71,805
Estimated per capita income in 2017: $37,713 (it was $24,294 in 2000)
Orange city income, earnings, and wages data
Estimated median house or condo value in 2017: $656,300 (it was $247,000 in 2000)
Orange:$656,300CA:$509,400
Mean prices in 2017: all housing units: $698,108; detached houses: $736,164; townhouses or other attached units: $863,187; in 2-unit structures: $352,108; in 3-to-4-unit structures: $348,593; in 5-or-more-unit structures: $458,255; mobile homes: $105,928","March 2019 cost of living index in Orange: 87.7 (less than average, U.S. average is 100)"
,California,Palos-Verdes-Estates-California.html,"Population in 2017: 13,544 (100% urban, 0% rural). Population change since 2000: +1.5%
 

","Males: 6,499  (48.0%)Females: 7,045  (52.0%)",Median resident age:51.0 yearsCalifornia median age:36.5 years,Zip codes: 90274.,"Estimated median household income in 2017: $192,642 (it was $123,534 in 2000)
Palos Verdes Estates:$192,642CA:$71,805
Estimated per capita income in 2017: $87,861 (it was $69,040 in 2000)
Palos Verdes Estates city income, earnings, and wages data
Estimated median house or condo value in 2017: over $1,000,000 (it was $789,400 in 2000)
Palos Verdes Estates:over $1,000,000CA:$509,400
Mean prices in 2017: all housing units: over $1,000,000; detached houses: over $1,000,000; townhouses or other attached units: $984,577; in 5-or-more-unit structures: $646,862","March 2019 cost of living index in Palos Verdes Estates: 152.8 (very high, U.S. average is 100)"
,California,Piedmont-California.html,"Population in 2017: 11,378 (100% urban, 0% rural). Population change since 2000: +3.9%
 

","Males: 5,608  (49.3%)Females: 5,770  (50.7%)",Median resident age:47.5 yearsCalifornia median age:36.5 years,Zip codes: 94611.,"Estimated median household income in 2017: over $200,000 (it was $134,270 in 2000)
Piedmont:over $200,000CA:$71,805
Estimated per capita income in 2017: $104,882 (it was $70,539 in 2000)
Piedmont city income, earnings, and wages data
Estimated median house or condo value in 2017: over $1,000,000 (it was $761,400 in 2000)
Piedmont:over $1,000,000CA:$509,400
Mean prices in 2017: all housing units: $866,814; detached houses: $925,133; townhouses or other attached units: $705,218; in 2-unit structures: $748,102; in 3-to-4-unit structures: $738,515; in 5-or-more-unit structures: $582,916; mobile homes: $179,492","March 2019 cost of living index in Piedmont: 164.3 (very high, U.S. average is 100)"
,California,Patterson-California.html,"Population in 2017: 22,124 (99% urban, 1% rural). Population change since 2000: +90.6%","Males: 11,483  (51.9%)Females: 10,641  (48.1%)",Median resident age:31.0 yearsCalifornia median age:36.5 years,Zip codes: 95363.,"Estimated median household income in 2017: $67,741 (it was $47,780 in 2000)
Patterson:$67,741CA:$71,805
Estimated per capita income in 2017: $21,881 (it was $14,746 in 2000)
Patterson city income, earnings, and wages data
Estimated median house or condo value in 2017: $305,320 (it was $129,200 in 2000)
Patterson:$305,320CA:$509,400
Mean prices in 2017: all housing units: $269,173; detached houses: $275,226; mobile homes: $22,189","March 2019 cost of living index in Patterson: 98.2 (near average, U.S. average is 100)"
,California,Dana-Point-California.html,"Population in 2017: 33,934 (100% urban, 0% rural). Population change since 2000: -3.3%
 

","Males: 16,384  (48.3%)Females: 17,550  (51.7%)",Median resident age:49.0 yearsCalifornia median age:36.5 years,"Zip codes: 92624, 92629, 92672, 92675.Dana Point Zip Code Map","Estimated median household income in 2017: $95,127 (it was $63,043 in 2000)
Dana Point:$95,127CA:$71,805
Estimated per capita income in 2017: $58,812 (it was $37,938 in 2000)
Dana Point city income, earnings, and wages data
Estimated median house or condo value in 2017: $912,947 (it was $365,400 in 2000)
Dana Point:$912,947CA:$509,400
Mean prices in 2017: all housing units: over $1,000,000; detached houses: over $1,000,000; townhouses or other attached units: $723,955; in 2-unit structures: $511,213; in 3-to-4-unit structures: $816,333; in 5-or-more-unit structures: $611,209; mobile homes: $101,666","March 2019 cost of living index in Dana Point: 90.0 (less than average, U.S. average is 100)"
,California,Pinole-California.html,"Population in 2017: 19,364 (100% urban, 0% rural). Population change since 2000: +1.7%
 

","Males: 9,084  (46.9%)Females: 10,280  (53.1%)",Median resident age:45.0 yearsCalifornia median age:36.5 years,Zip codes: 94564.,"Estimated median household income in 2017: $90,811 (it was $62,256 in 2000)
Pinole:$90,811CA:$71,805
Estimated per capita income in 2017: $38,928 (it was $25,170 in 2000)
Pinole city income, earnings, and wages data
Estimated median house or condo value in 2017: $531,007 (it was $221,500 in 2000)
Pinole:$531,007CA:$509,400
Mean prices in 2017: all housing units: $476,731; detached houses: $498,679; townhouses or other attached units: $330,310; in 3-to-4-unit structures: $225,801; in 5-or-more-unit structures: $519,465","March 2019 cost of living index in Pinole: 145.5 (very high, U.S. average is 100)"
,California,Pittsburg-California.html,"Population in 2017: 72,141 (100% urban, 0% rural). Population change since 2000: +27.1%
 

","Males: 35,347  (49.0%)Females: 36,794  (51.0%)",Median resident age:35.9 yearsCalifornia median age:36.5 years,Zip codes: 94565.,"Estimated median household income in 2017: $65,497 (it was $50,557 in 2000)
Pittsburg:$65,497CA:$71,805
Estimated per capita income in 2017: $28,299 (it was $18,241 in 2000)
Pittsburg city income, earnings, and wages data
Estimated median house or condo value in 2017: $387,700 (it was $161,700 in 2000)
Pittsburg:$387,700CA:$509,400
Mean prices in 2017: all housing units: $300,444; detached houses: $307,792; townhouses or other attached units: $408,194; in 5-or-more-unit structures: $331,134; mobile homes: $132,483","March 2019 cost of living index in Pittsburg: 143.0 (very high, U.S. average is 100)"
,California,Ladera-Ranch-California.html,"Population in 2010: 22,980.","Males: 11,093  (48.3%)Females: 11,887  (51.7%)",Median resident age:33.9 yearsCalifornia median age:36.5 years,"Zip codes: 92692, 92694.Ladera Ranch Zip Code Map","Estimated median household income in 2017: $86,217
Ladera Ranch:$86,217CA:$71,805
Estimated per capita income in 2017: $39,038
Ladera Ranch CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $679,400
Ladera Ranch:$679,400CA:$509,400
Mean prices in 2017: all housing units: $959,218; detached houses: over $1,000,000; townhouses or other attached units: $517,393; in 5-or-more-unit structures: $524,120","March 2019 cost of living index in Ladera Ranch: 85.2 (less than average, U.S. average is 100)"
,California,Rancho-Santa-Margarita-California.html,"Population in 2017: 48,793 (100% urban, 0% rural). Population change since 2000: +3.3%
 

","Males: 24,017  (49.2%)Females: 24,776  (50.8%)",Median resident age:37.4 yearsCalifornia median age:36.5 years,Zip codes: 92678.,"Estimated median household income in 2017: $112,643 (it was $78,475 in 2000)
Rancho Santa Margarita:$112,643CA:$71,805
Estimated per capita income in 2017: $49,031 (it was $31,531 in 2000)
Rancho Santa Margarita city income, earnings, and wages data
Estimated median house or condo value in 2017: $677,977 (it was $272,900 in 2000)
Rancho Santa Margarita:$677,977CA:$509,400
Mean prices in 2017: all housing units: $826,523; detached houses: $942,034; townhouses or other attached units: $595,217; in 2-unit structures: $900,920; in 3-to-4-unit structures: $494,246; in 5-or-more-unit structures: $403,776; mobile homes: $107,702; occupied boats, rvs, vans, etc.: over $1,000,000","March 2019 cost of living index in Rancho Santa Margarita: 87.0 (less than average, U.S. average is 100)"
