State,City,City Population,Median Age (Years),Zip Codes,Median Income,Cost Of Living,Female Population,Male Population
california,bostonia california.html," 15,379. Population change since 2000: +1.4",33.3,92020,"$52,895 ", 135.9 /100,50.00%,50.00%
california,baywood los osos california.html,"15,151",42.9,93402,"$78,877 ", 117.7 /100,52.00%,48.00%
california,newman california.html,"11,361",33,95360,"$57,894 ", 96.4 /100,49.00%,51.00%
california,ojai california.html,"7,582",47.9,93023,"$70,796 ", 96.0 /100,52.20%,47.80%
california,modesto california.html,"214,221",35.8,95350,"$56,493 ", 97.8 /100,50.90%,49.10%
california,orange cove california.html,"9,604",26.5,93646,"$27,233 ", 94.5 /100,51.00%,49.00%
california,pauma valley california.html,"7,475",31.5,92082,"$69,154 ", 137.2 /100,48.30%,51.70%
california,orcutt california.html," 28,905. Population change since 2000: +0.3",43,93455,"$82,828 ", 110.7 /100,52.40%,47.60%
california,brawley california.html,"26,390",32.7,92227,"$45,830 ", 93.3 /100,53.10%,46.90%
california,hollister california.html,"38,404",33,95023,"$83,194 ", 104.9 /100,50.00%,50.00%
california,hayward california.html,"160,500",34.9,94544,"$89,925 ", 149.7 /100,50.80%,49.20%
california,hemet california.html,"85,160",39.7,92582,"$39,801 ", 81.0 /100,52.00%,48.00%
california,coachella california.html,"45,443",31.3,92236,"$36,070 ", 81.1 /100,51.00%,49.00%
california,jamul california.html," 6,163. Population change since 2000: +4.1",48.8,91935,"$123,115 ", 135.6 /100,52.30%,47.70%
california,grover beach california.html,"13,628",36,93445,"$65,788 ", 108.5 /100,50.70%,49.30%
california,ontario california.html,"175,841",33.2,91761,"$60,086 ", 82.8 /100,50.40%,49.60%
california,garnet california.html,"7,543",29.6,92258," $63,944
Garnet:$63,944CA:$71,805
Estimated per capita income in 2017: $27,186
Garnet CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $352,700
Garnet:$352,700CA:$509,400
Mean prices in 2017: all housing units: $142,533; detached houses: $178,483; mobile homes: $27,59", 80.3 /100,45.40%,54.60%
california,palm desert california.html,"52,932",53.3,92260,"$59,165 ", 82.8 /100,53.00%,47.00%
california,redwood potter california.html,"11,545",38.8,95470,"$58,180 ", 110.0 /100,48.80%,51.20%
california,barstow california.html,"23,916",30.5,92311,"$38,696 ", 79.4 /100,54.40%,45.60%
california,oceanside california.html,"176,193",39,92054,"$71,609 ", 137.5 /100,49.10%,50.90%
california,oxnard california.html,"210,037",32.6,93001,"$68,994 ", 92.7 /100,50.00%,50.00%
california,palmdale california.html,"157,519",31.3,93552,"$60,518 ", 129.1 /100,49.90%,50.10%
california,imperial beach california.html,"27,418",32.3,91932,"$53,926 ", 142.9 /100,50.70%,49.30%
california,claremont california.html,"36,015",40.2,91711,"$103,263 ", 136.7 /100,52.20%,47.80%
california,hesperia california.html,"94,859",31.7,92344,"$55,418 ", 80.6 /100,49.70%,50.30%
california,palo alto california.html,"67,178",39.8,94301,"$153,802 ", 176.9 /100,51.00%,49.00%
california,kerman california.html,"14,932",28.6,93630,"$47,983 ", 95.3 /100,50.10%,49.90%
california,pismo beach california.html,"8,237",54.9,93449,"$82,731 ", 112.0 /100,54.20%,45.80%
california,perris california.html,"77,879",27.4,92571,"$62,340 ", 81.0 /100,48.50%,51.50%
california,portola hills california.html,"6,618",33,92679,"$133,201 ", 91.7 /100,50.70%,49.30%
california,ramona california.html," 20,292. Population change since 2000: +29.3",38.1,92065,"$73,937 ", 136.2 /100,49.10%,50.90%
california,kentfield california.html," 6,485. Population change since 2000: +2.1",47.9,94904," over $200,000 ", 166.4 /100,52.20%,47.80%
california,prunedale california.html," 17,560. Population change since 2000: +6.9",37.7,93906,"$91,215 ", 106.8 /100,50.00%,50.00%
california,russian river coastal california.html,"24,878",44,95421,"$70,854 ", 164.4 /100,49.30%,50.70%
california,pollock pines california.html," 6,871. Population change since 2000: +45.3",44.9,95726,"$56,034 ", 102.2 /100,54.90%,45.10%
california,pleasant hill california.html,"34,987",39.8,94523,"$109,430 ", 151.2 /100,52.10%,47.90%
california,atherton california.html,"7,238",49.8,94027," over $200,000 ", 170.9 /100,49.60%,50.40%
california,placentia california.html,"52,157",37.5,92870,"$93,222 ", 87.5 /100,51.00%,49.00%
california,placerville california.html,"10,936",41.2,95667,"$54,350 ", 103.3 /100,52.50%,47.50%
california,linda rural california.html,"9,329",24.8,95903,"$70,348 ", 100.9 /100,47.20%,52.80%
california,port hueneme california.html,"22,327",32.1,93041,"$66,058 ", 93.0 /100,49.60%,50.40%
california,san gorgonio pass california.html,"70,591",38.9,92220,"$49,487 ", 84.7 /100,51.90%,48.10%
california,garberville california.html,"12,402",38.4,95542,"$45,300 ", 108.3 /100,48.90%,51.10%
california,rancho cucamonga california.html,"177,452",34.6,91701,"$90,034 ", 82.7 /100,51.40%,48.60%
california,la presa california.html," 34,169. Population change since 2000: +4.4",34.9,91945,"$66,469 ", 134.9 /100,50.00%,50.00%
california,san lorenzo valley california.html,"28,033",39.2,95006,"$104,171 ", 180.1 /100,48.70%,51.30%
california,rancho cordova california.html,"73,563",36.1,95683,"$64,088 ", 101.1 /100,49.20%,50.80%
california,rancho palos verdes california.html,"42,364",50.2,90275,"$132,699 ", 148.0 /100,52.60%,47.40%
california,laguna west lakeside california.html,"9,395",32.6,95758,"$109,935 ", 109.3 /100,52.00%,48.00%
california,laguna woods california.html,"16,200",76.1,92653,"$43,015 ", 87.7 /100,64.70%,35.30%
california,rancho mirage california.html,"18,306",67,92270,"$68,095 ", 83.9 /100,49.70%,50.30%
california,indio california.html,"89,793",43.5,92201,"$45,278 ", 81.6 /100,53.50%,46.50%
california,la mirada california.html,"49,095",39.8,90638,"$93,117 ", 138.1 /100,50.50%,49.50%
california,san anselmo california.html,"12,580",48,94960,"$127,141 ", 165.7 /100,53.10%,46.90%
california,la mesa california.html,"60,021",37.1,91942,"$64,376 ", 140.6 /100,51.80%,48.20%
california,redondo beach california.html,"67,908",41.1,90277,"$104,715 ", 145.0 /100,48.00%,52.00%
california,rosemont california.html," 22,681. Population change since 2000: -1.0",34.5,95826,"$62,790 ", 101.3 /100,52.30%,47.70%
california,richmond california.html,"110,040",35.1,94850,"$67,102 ", 148.2 /100,50.60%,49.40%
california,san diego country estates california.html," 10,109. Population change since 2000: +9.1",45,92065,"$113,452 ", 135.2 /100,50.60%,49.40%
california,lemon hill california.html,"13,729",30.7,95824," $63,045
Lemon Hill:$63,045CA:$71,805
Estimated per capita income in 2017: $31,449
Lemon Hill CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $353,400
Lemon Hill:$353,400CA:$509,400
Mean prices in 2017: all housing units: $191,836; detached houses: $174,013; townhouses or other attached units: $207,958; mobile homes: $25,074; occupied boats, rvs, vans, etc.: $85,06", 98.3 /100,51.40%,48.60%
california,salida california.html," 13,722. Population change since 2000: +9.3",31.8,95368,"$79,125 ", 97.3 /100,50.60%,49.40%
california,chino hills california.html,"80,374",37.4,91709,"$99,763 ", 83.3 /100,53.50%,46.50%
california,bermuda dunes california.html," 7,282. Population change since 2000: +16.9",36.4,92203,"$61,145 ", 82.3 /100,51.70%,48.30%
california,san dimas california.html,"34,326",42.4,91773,"$86,556 ", 137.4 /100,53.00%,47.00%
california,carlsbad california.html,"115,330",45.4,92008,"$101,646 ", 139.8 /100,50.90%,49.10%
california,riverside california.html,"327,728",30.9,92506,"$66,928 ", 82.0 /100,50.20%,49.80%
california,arcadia california.html,"58,799",44.6,91006,"$96,596 ", 149.7 /100,53.00%,47.00%
california,santa ynez valley california.html,"21,898",40.6,93463,"$83,596 ", 131.7 /100,50.90%,49.10%
california,san martin california.html," 7,027. Population change since 2000: +66.1",42.2,95046,"$121,098 ", 152.7 /100,48.20%,51.80%
california,roseville california.html,"135,329",39.3,95747,"$80,426 ", 102.6 /100,50.80%,49.20%
california,san marino california.html,"13,327",47.4,91108,"$162,504 ", 159.2 /100,51.00%,49.00%
california,san clemente california.html,"65,267",48,92673,"$101,743 ", 88.7 /100,50.80%,49.20%
california,linda california.html," 17,773. Population change since 2000: +31.9",30.6,95961,"$46,716 ", 92.6 /100,50.80%,49.20%
california,salinas california.html,"157,596",31.4,93901,"$60,370 ", 108.4 /100,48.60%,51.40%
california,san pablo california.html,"31,156",34.1,94806,"$51,152 ", 145.3 /100,49.90%,50.10%
california,san bruno california.html,"43,299",39.6,94066,"$104,551 ", 168.9 /100,50.00%,50.00%
california,south coast california.html,"298,389",38.6,92677,"$96,772 ", 96.5 /100,51.50%,48.50%
california,gold river california.html," 7,912. Population change since 2000: -1.4",54.8,95670,"$118,296 ", 102.6 /100,48.80%,51.20%
california,san ramon california.html,"75,931",38.8,94583,"$161,870 ", 147.6 /100,51.20%,48.80%
california,charter oak california.html," 9,310. Population change since 2000: +3.1",36.1,91722,"$67,053 ", 138.0 /100,50.90%,49.10%
california,san mateo california.html,"104,748",38.7,94401,"$108,058 ", 175.0 /100,50.50%,49.50%
california,san luis obispo california.html,"47,541",26.9,93401,"$53,117 ", 115.0 /100,48.80%,51.20%
california,san rafael california.html,"59,070",41.8,94964,"$93,486 ", 165.8 /100,49.90%,50.10%
california,south coastside california.html,"28,564",38.7,94019,"$137,828 ", 192.3 /100,47.90%,52.10%
california,south antelope valley california.html,"171,490",30.8,93550,"$78,464 ", 140.9 /100,50.30%,49.70%
california,south el dorado california.html,"87,572",39.7,95667,"$96,673 ", 111.7 /100,50.70%,49.30%
california,commerce california.html,"12,947",35.3,90022,"$45,529 ", 140.6 /100,50.00%,50.00%
california,santa clarita california.html,"210,888",37,91321,"$90,961 ", 135.2 /100,50.80%,49.20%
california,sebastopol california.html,"7,666",48.4,95472,"$73,183 ", 149.8 /100,54.30%,45.70%
california,mammoth lakes california.html,"8,132",32.8,93546,"$66,608 ", 102.2 /100,46.00%,54.00%
california,san francisco california.html,"884,363",38.3,94102,"$110,816 ", 173.6 /100,49.10%,50.90%
california,santa cruz california.html,"65,021",30.9,95064,"$71,442 ", 173.3 /100,51.10%,48.90%
california,midway city california.html,"8,485",35.3,92655," $86,217
Midway City:$86,217CA:$71,805
Estimated per capita income in 2017: $39,038
Midway City CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $679,400
Midway City:$679,400CA:$509,400
Mean prices in 2017: all housing units: $465,675; detached houses: $573,951; townhouses or other attached units: $375,022; in 3-to-4-unit structures: $455,151; mobile homes: $24,03", 84.1 /100,50.80%,49.20%
california,lodi california.html,"65,884",32.4,95242,"$51,902 ", 100.4 /100,53.10%,46.90%
california,san jose california.html,"1,035,317",36.8,94089,"$104,675 ", 156.4 /100,49.50%,50.50%
california,santa clara california.html,"127,134",34.3,95053,"$115,375 ", 162.3 /100,47.80%,52.20%
california,saratoga california.html,"30,905",49.2,95070,"$193,041 ", 168.5 /100,50.50%,49.50%
california,madera acres california.html," 9,163. Population change since 2000: +18.4",34,93638,"$79,116 ", 94.7 /100,51.70%,48.30%
california,santa maria california.html,"107,014",30,93458,"$60,320 ", 110.8 /100,52.50%,47.50%
california,spring valley lake california.html,"8,220",42.9,nan," $60,420
Spring Valley Lake:$60,420CA:$71,805
Estimated per capita income in 2017: $23,666
Spring Valley Lake CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $326,600
Spring Valley Lake:$326,600CA:$509,400
Mean prices in 2017: all housing units: $349,447; detached houses: $348,44", 80.8 /100,52.00%,48.00%
california,fairfax california.html,"7,598",47.4,94930,"$106,716 ", 167.0 /100,55.60%,44.40%
california,stevenson ranch california.html,"17,557",40.3,nan," $65,006
Stevenson Ranch:$65,006CA:$71,805
Estimated per capita income in 2017: $32,413
Stevenson Ranch CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $588,700
Stevenson Ranch:$588,700CA:$509,400
Mean prices in 2017: all housing units: $750,873; detached houses: $796,920; townhouses or other attached units: $571,960; in 2-unit structures: $959,245; in 3-to-4-unit structures: $711,635; in 5-or-more-unit structures: $587,289; mobile homes: $142,109; occupied boats, rvs, vans, etc.: $156,33", 129.9 /100,51.90%,48.10%
california,seal beach california.html,"24,326",58.7,90743,"$68,890 ", 87.3 /100,53.80%,46.20%
california,tassajara california.html,"28,330",36.4,94517,"$168,556 ", 182.8 /100,50.20%,49.80%
california,chino california.html,"89,797",37.8,91708,"$72,396 ", 83.0 /100,41.20%,58.80%
california,mather california.html,"108,400",32.9,95670,"$64,455 ", 108.5 /100,51.00%,49.00%
california,elk grove california.html,"171,844",37.9,95624,"$89,404 ", 101.8 /100,51.50%,48.50%
california,soledad california.html,"26,273",36.8,93960,"$63,012 ", 105.0 /100,32.60%,67.40%
california,santa paula california.html,"30,313",33.5,93060,"$55,685 ", 92.8 /100,48.50%,51.50%
california,mckinleyville california.html," 15,177. Population change since 2000: +11.6",39.4,95519,"$55,447 ", 95.2 /100,48.20%,51.80%
california,sun village california.html,"11,565",30.2,nan," $65,006
Sun Village:$65,006CA:$71,805
Estimated per capita income in 2017: $32,413
Sun Village CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $588,700
Sun Village:$588,700CA:$509,400
Mean prices in 2017: all housing units: $750,873; detached houses: $796,920; townhouses or other attached units: $571,960; in 2-unit structures: $959,245; in 3-to-4-unit structures: $711,635; in 5-or-more-unit structures: $587,289; mobile homes: $142,109; occupied boats, rvs, vans, etc.: $156,33", 127.7 /100,51.80%,48.20%
california,sonoma california.html,"11,108",51,95476,"$86,229 ", 153.1 /100,53.00%,47.00%
california,soquel california.html," 9,644. Population change since 2000: +89.8",40.5,95073,"$90,536 ", 159.7 /100,50.80%,49.20%
california,santa monica california.html,"92,306",41.1,90401,"$90,088 ", 158.7 /100,52.40%,47.60%
california,los banos california.html,"39,183",31.4,93635,"$48,411 ", 95.4 /100,51.00%,49.00%
california,livermore california.html,"90,295",39.5,94550,"$118,406 ", 146.5 /100,49.80%,50.20%
california,south pasadena california.html,"25,888",40.7,91030,"$98,823 ", 147.8 /100,50.90%,49.10%
california,susanville california.html,"15,326",31.7,96130,"$54,632 ", 89.9 /100,24.00%,76.00%
california,south el monte california.html,"20,987",34.9,91733,"$47,572 ", 142.8 /100,49.40%,50.60%
california,los alamitos california.html,"11,603",41.3,90720,"$83,697 ", 89.6 /100,52.20%,47.80%
california,templeton california.html," 7,674. Population change since 2000: +63.7",45.3,93465,"$81,325 ", 105.3 /100,53.20%,46.80%
california,south san gabriel california.html," 8,070. Population change since 2000: +6.3",44.4,91770,"$73,617 ", 139.5 /100,50.70%,49.30%
california,tamalpais homestead valley california.html," 10,735. Population change since 2000: +0.4",46.8,94941,"$174,121 ", 166.6 /100,49.10%,50.90%
california,stanford california.html," 13,809. Population change since 2000: +3.7",22.1,94305,"$67,296 ", 193.5 /100,43.80%,56.20%
california,trabuco california.html,"193,712",35.2,92688,"$117,529 ", 93.9 /100,50.90%,49.10%
california,north coastal california.html,"20,764",37.6,95519,"$55,444 ", 113.5 /100,50.70%,49.30%
california,suisun city california.html,"29,639",33.8,94585,"$79,507 ", 137.0 /100,51.10%,48.90%
california,north el dorado california.html,"31,656",42.5,95667,"$74,927 ", 107.7 /100,49.50%,50.50%
california,menlo park california.html,"34,357",37.6,94025,"$146,748 ", 185.6 /100,50.80%,49.20%
california,half moon bay california.html,"12,870",47.7,94019,"$122,430 ", 164.8 /100,54.30%,45.70%
california,thousand palms california.html," 7,715. Population change since 2000: +50.7",48.9,92276,"$43,651 ", 80.8 /100,49.20%,50.80%
california,millbrae california.html,"22,718",44.9,94030,"$121,419 ", 175.0 /100,50.60%,49.40%
california,northwest marin california.html,"9,291",43.5,94956,"$84,349 ", 180.1 /100,50.30%,49.70%
california,ventura california.html,"110,873",36.7,93003,"$72,309 ", 100.3 /100,50.70%,49.30%
california,folsom california.html,"78,038",41.3,95630,"$116,592 ", 102.0 /100,49.20%,50.80%
california,milpitas california.html,"78,106",34.9,95035,"$127,984 ", 156.5 /100,47.20%,52.80%
california,moraga california.html,"17,270",42,94556,"$146,853 ", 188.7 /100,52.90%,47.10%
california,idyllwild california.html,"15,608",43.3,92539,"$53,030 ", 79.7 /100,48.80%,51.20%
california,ashland california.html," 21,925. Population change since 2000: +5.4",32.7,94541,"$57,239 ", 152.8 /100,52.90%,47.10%
california,west valley california.html,"29,595",34.5,95648,"$79,677 ", 109.9 /100,50.70%,49.30%
california,stockton california.html,"310,496",32.9,95202,"$51,336 ", 98.7 /100,52.40%,47.60%
california,morro bay california.html,"10,635",50.2,93442,"$66,011 ", 112.4 /100,50.70%,49.30%
california,north tustin california.html,"24,917",49,92705," $86,217
North Tustin:$86,217CA:$71,805
Estimated per capita income in 2017: $39,038
North Tustin CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $679,400
North Tustin:$679,400CA:$509,400
Mean prices in 2017: all housing units: $826,523; detached houses: $942,034; townhouses or other attached units: $595,217; in 2-unit structures: $900,920; in 3-to-4-unit structures: $494,246; in 5-or-more-unit structures: $403,776; mobile homes: $107,702; occupied boats, rvs, vans, etc.: over $1,000,00", 84.7 /100,50.90%,49.10%
california,valinda california.html," 22,822. Population change since 2000: +4.8",34.5,91744,"$76,981 ", 135.7 /100,49.30%,50.70%
california,ukiah california.html,"16,036",35,95482,"$49,550 ", 102.0 /100,50.10%,49.90%
california,valle vista california.html," 14,578. Population change since 2000: +39.0",41.9,92544,"$47,065 ", 80.1 /100,50.40%,49.60%
california,tulare california.html,"63,855",29.4,93274,"$51,126 ", 88.3 /100,50.80%,49.20%
california,vacaville california.html,"100,032",39.7,95687,"$80,425 ", 137.6 /100,49.90%,50.10%
california,upland california.html,"76,999",38.1,91786,"$70,760 ", 83.2 /100,51.70%,48.30%
california,union city california.html,"75,343",40.9,94587,"$117,526 ", 151.7 /100,48.60%,51.40%
california,tustin california.html,"80,498",35.9,92780,"$81,285 ", 88.5 /100,52.10%,47.90%
california,torrance california.html,"146,758",42.9,90503,"$88,860 ", 143.6 /100,51.40%,48.60%
california,vineyard california.html," 24,836. Population change since 2000: +145.7",35.5,95829,"$87,194 ", 102.1 /100,51.30%,48.70%
california,tracy california.html,"90,889",34.4,95376,"$89,936 ", 100.7 /100,48.80%,51.20%
california,muscoy california.html," 10,644. Population change since 2000: +19.3",27.2,92407,"$41,318 ", 82.3 /100,47.40%,52.60%
california,healdsburg california.html,"11,840",45,95448,"$87,309 ", 150.9 /100,51.60%,48.40%
california,walnut california.html,"30,199",44.7,91789,"$104,761 ", 141.6 /100,50.00%,50.00%
california,monterey california.html,"28,639",38.3,93943,"$83,324 ", 114.7 /100,47.60%,52.40%
california,moreno valley california.html,"207,226",30.5,92551,"$62,198 ", 81.7 /100,50.60%,49.40%
california,palomar julian california.html,"6,523",44.4,92070,"$67,624 ", 136.3 /100,50.80%,49.20%
california,west whittier los nietos california.html," 25,540. Population change since 2000: +1.6",38,90606,"$72,427 ", 138.3 /100,48.80%,51.20%
california,west carson california.html," 21,699. Population change since 2000: +2.7",45.5,90502,"$72,976 ", 138.4 /100,49.80%,50.20%
california,west covina california.html,"107,598",37,91790,"$81,170 ", 138.2 /100,50.30%,49.70%
california,vista california.html,"101,568",34.4,92083,"$68,130 ", 138.1 /100,48.50%,51.50%
california,watsonville california.html,"54,098",30.1,95076,"$55,776 ", 157.7 /100,48.20%,51.80%
california,yreka california.html,"7,600",37,96097,"$34,930 ", 91.3 /100,55.60%,44.40%
california,victorville california.html,"122,441",33.3,92392,"$50,997 ", 80.5 /100,50.50%,49.50%
california,orosi california.html,"8,262",25.5,93647,"$41,388 ", 93.5 /100,47.20%,52.80%
california,granite bay california.html," 20,402. Population change since 2000: +5.2",46.8,95650,"$125,611 ", 104.7 /100,50.40%,49.60%
california,visalia california.html,"133,010",31.2,93277,"$64,482 ", 87.8 /100,53.40%,46.60%
california,casa de oro mount helix california.html," 18,762. Population change since 2000: -0.6",44.7,91941,"$94,954 ", 137.7 /100,51.00%,49.00%
california,windsor california.html,"27,548",41.3,95492,"$101,991 ", 143.5 /100,49.40%,50.60%
california,pine grove silver lake california.html,"10,703",48.8,95223,"$64,166 ", 104.2 /100,49.40%,50.60%
california,yucca valley california.html,"21,748",43,92284,"$46,965 ", 80.6 /100,52.00%,48.00%
california,atascadero california.html,"30,418",38.8,93422,"$77,300 ", 106.0 /100,49.80%,50.20%
california,north highlands california.html," 42,694. Population change since 2000: -3.4",31.7,95660,"$43,239 ", 100.8 /100,51.90%,48.10%
california,hercules california.html,"25,545",40.8,94547,"$115,564 ", 143.1 /100,52.00%,48.00%
california,yuba city california.html,"66,860",34.5,95991,"$51,497 ", 93.5 /100,49.10%,50.90%
california,phelan california.html,"14,304",40.2,nan," $60,420
Phelan:$60,420CA:$71,805
Estimated per capita income in 2017: $23,666
Phelan CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $326,600
Phelan:$326,600CA:$509,400
Mean prices in 2017: all housing units: $234,616; detached houses: $269,923; mobile homes: $104,99", 72.9 /100,49.40%,50.60%
california,whittier california.html,"86,838",35.4,90603,"$66,525 ", 140.8 /100,51.80%,48.20%
california,orange california.html,"140,560",35.2,92861,"$91,092 ", 87.7 /100,50.30%,49.70%
california,palos verdes estates california.html,"13,544",51,90274,"$192,642 ", 152.8 /100,52.00%,48.00%
california,piedmont california.html,"11,378",47.5,94611," over $200,000 ", 164.3 /100,50.70%,49.30%
california,patterson california.html,"22,124",31,95363,"$67,741 ", 98.2 /100,48.10%,51.90%
california,dana point california.html,"33,934",49,92624,"$95,127 ", 90.0 /100,51.70%,48.30%
california,pinole california.html,"19,364",45,94564,"$90,811 ", 145.5 /100,53.10%,46.90%
california,pittsburg california.html,"72,141",35.9,94565,"$65,497 ", 143.0 /100,51.00%,49.00%
california,ladera ranch california.html,"22,980",33.9,92692," $86,217
Ladera Ranch:$86,217CA:$71,805
Estimated per capita income in 2017: $39,038
Ladera Ranch CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $679,400
Ladera Ranch:$679,400CA:$509,400
Mean prices in 2017: all housing units: $959,218; detached houses: over $1,000,000; townhouses or other attached units: $517,393; in 5-or-more-unit structures: $524,12", 85.2 /100,51.70%,48.30%
california,rancho santa margarita california.html,"48,793",37.4,92678,"$112,643 ", 87.0 /100,50.80%,49.20%
california,el paso de robles paso robles california.html,"31,918",37.4,93446,"$65,329 ",/100,52.60%,47.40%
california,east palo alto california.html,"29,765",29.9,94303,"$64,895 ", 169.9 /100,49.40%,50.60%
california,ross valley california.html,"59,297",41.6,94904,"$117,475 ", 202.8 /100,47.50%,52.50%
california,rio linda california.html," 15,106. Population change since 2000: +44.3",40.2,95673,"$61,025 ", 101.2 /100,51.10%,48.90%
california,roseland california.html," 6,325. Population change since 2000: -0.7",33.6,95407,"$60,982 ", 144.4 /100,47.30%,52.70%
california,costa mesa california.html,"113,825",34.6,92614,"$78,904 ", 89.9 /100,50.10%,49.90%
california,rialto california.html,"103,562",31.7,92376,"$57,065 ", 81.9 /100,52.40%,47.60%
california,ripon california.html,"15,677",38.5,95366,"$86,902 ", 100.4 /100,52.40%,47.60%
california,ridgecrest california.html,"28,880",35.8,93555,"$59,631 ", 90.1 /100,48.30%,51.70%
california,ceres california.html,"48,697",30.5,95307,"$56,062 ", 97.9 /100,48.90%,51.10%
california,rowland heights california.html," 48,993. Population change since 2000: +0.9",42.6,91748,"$70,579 ", 142.6 /100,50.90%,49.10%
california,san fernando california.html,"24,714",33.9,91340,"$57,850 ", 138.6 /100,48.70%,51.30%
california,la habra california.html,"62,466",35.1,90631,"$76,028 ", 87.5 /100,50.80%,49.20%
california,lake elsinore california.html,"66,411",28.9,92530,"$67,988 ", 81.5 /100,52.90%,47.10%
california,good hope california.html,"9,192",28.8,nan," $63,944
Good Hope:$63,944CA:$71,805
Estimated per capita income in 2017: $27,186
Good Hope CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $352,700
Good Hope:$352,700CA:$509,400
Mean prices in 2017: all housing units: $232,456; detached houses: $234,643; mobile homes: $213,21", 80.2 /100,49.40%,50.60%
california,rocklin california.html,"64,838",38.2,95678,"$92,269 ", 102.1 /100,51.70%,48.30%
california,san buenaventura ventura california.html,"110,790",38.7,93004,"$72,100 ",/100,50.20%,49.80%
california,san juan capistrano california.html,"36,064",43.4,92675,"$86,090 ", 88.3 /100,51.90%,48.10%
california,sloughhouse california.html,"6,043",46.9,95683,"$111,132 ", 114.7 /100,50.00%,50.00%
california,san lorenzo california.html," 23,452. Population change since 2000: +7.1",39.9,94580,"$101,033 ", 148.8 /100,50.40%,49.60%
california,san marcos california.html,"96,198",35.3,92069,"$76,272 ", 135.6 /100,50.50%,49.50%
california,el centro california.html,"44,364",33,92243,"$45,948 ", 93.5 /100,51.00%,49.00%
california,camarillo california.html,"67,845",44,93010,"$101,310 ", 92.8 /100,49.30%,50.70%
california,sanger california.html,"25,161",33.3,93657,"$47,758 ", 94.9 /100,50.10%,49.90%
california,lemoore california.html,"26,355",28.8,93245,"$63,027 ", 92.4 /100,49.80%,50.20%
california,south monrovia island california.html,"6,777",34.8,nan," $65,006
South Monrovia Island:$65,006CA:$71,805
Estimated per capita income in 2017: $32,413
South Monrovia Island CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $588,700
South Monrovia Island:$588,700CA:$509,400
Mean prices in 2017: all housing units: $554,918; detached houses: $572,431; townhouses or other attached units: $220,01", 127.3 /100,47.50%,52.50%
california,southeast marin california.html,"51,775",43.6,94941,"$145,247 ", 207.7 /100,52.50%,47.50%
california,south yuba city california.html,"14,624",35.3,95993,"$78,225 ", 100.1 /100,50.80%,49.20%
california,solana beach california.html,"13,444",46.6,92075,"$112,132 ", 150.7 /100,52.90%,47.10%
california,shasta lake california.html,"10,190",37.8,96003,"$55,085 ", 93.3 /100,48.80%,51.20%
california,santa fe springs california.html,"17,980",37,90605,"$67,696 ", 139.4 /100,52.60%,47.40%
california,el cerrito california.html,"25,515",43.2,94530,"$104,455 ", 154.1 /100,52.50%,47.50%
california,sierra madre california.html,"11,038",47.4,91024,"$104,993 ", 145.9 /100,52.60%,47.40%
california,santa barbara california.html,"92,101",39.1,93101,"$79,740 ", 124.6 /100,48.90%,51.10%
california,berkeley california.html,"122,324",30,94608,"$86,497 ", 162.2 /100,50.80%,49.20%
california,mount baldy wrightwood california.html,"6,995",40,92358,"$72,630 ", 86.9 /100,48.70%,51.30%
california,south whittier california.html," 57,156. Population change since 2000: +3.6",34.3,90602,"$67,131 ", 139.1 /100,51.10%,48.90%
california,topanga california.html,"8,289",47.3,nan," $65,006
Topanga:$65,006CA:$71,805
Estimated per capita income in 2017: $32,413
Topanga CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $588,700
Topanga:$588,700CA:$509,400
Mean prices in 2017: all housing units: over $1,000,000; detached houses: over $1,000,000; townhouses or other attached units: over $1,000,000; in 3-to-4-unit structures: over $1,000,000; mobile homes: $178,80", 131.1 /100,51.90%,48.10%
california,south san jose hills california.html," 20,551. Population change since 2000: +1.6",33.2,91792,"$65,705 ", 135.3 /100,48.70%,51.30%
california,lynwood california.html,"71,099",30.1,90280,"$48,812 ", 139.1 /100,52.90%,47.10%
california,newhall california.html,"192,980",32.8,91354,"$102,989 ", 152.5 /100,48.40%,51.60%
california,stanton california.html,"38,528",34.9,90680,"$53,300 ", 87.4 /100,50.60%,49.40%
california,manteca california.html,"79,268",36.5,95336,"$71,324 ", 100.0 /100,50.90%,49.10%
california,tehachapi california.html,"12,630",38.6,93561,"$43,620 ", 91.7 /100,31.00%,69.00%
