,name,state,categories,lat,long,city,Active Life,Arts & Entertainment,Automotive,Beauty & Spas,Education,Event Planning & Services,Financial Services,Food,Health & Medical,Home Services,Hotels & Travel,Local Flavor,Local Services,Mass Media,Nightlife,Pets,Professional Services,Religious Organizations,Restaurants,Shopping
"Sagamore Hills, OH",sagamore hills,ohio,"Counter({'Restaurants': 50958199728719070436, 'Food': 24101423695878521340, 'Shopping': 22252260146944340091, 'Nightlife': 13810492337432910294, 'Beauty & Spas': 11727766169320804312, 'Automotive': 10489548981297739786, 'Home Services': 9354045772045966509, 'Event Planning & Services': 8829518526433158933, 'Local Services': 8207858465191463606, 'Health & Medical': 7383840288968986864, 'Active Life': 6601604283490803797, 'Hotels & Travel': 5124251901170443600, 'Arts & Entertainment': 4865784835992125013, 'Pets': 3796094424233645267, 'Professional Services': 2202545864165021928, 'Education': 1624207652424351005, 'Local Flavor': 888361117512427757, 'Financial Services': 867738884894356294, 'Religious Organizations': 304878173788441133, 'Mass Media': 130562744455841496})",41.3144151,-81.5696974,sagamore hills,6.6016E+18,4.86578E+18,1.04895E+19,1.17278E+19,1.62421E+18,8.82952E+18,8.67739E+17,2.41014E+19,7.38384E+18,9.35405E+18,5.12425E+18,8.88361E+17,8.20786E+18,1.30563E+17,1.38105E+19,3.79609E+18,2.20255E+18,3.04878E+17,5.09582E+19,2.22523E+19
"Mahomet, IL",mahomet,illinois,"Counter({'Restaurants': 13460, 'Shopping': 6793, 'Food': 6554, 'Home Services': 4208, 'Local Services': 3091, 'Beauty & Spas': 3073, 'Automotive': 2785, 'Nightlife': 2679, 'Event Planning & Services': 2461, 'Hotels & Travel': 1966, 'Health & Medical': 1884, 'Active Life': 1454, 'Pets': 1156, 'Arts & Entertainment': 1152, 'Professional Services': 774, 'Education': 526, 'Local Flavor': 356, 'Financial Services': 296, 'Mass Media': 88, 'Religious Organizations': 80})",40.1888826,-88.3897043,mahomet,1454,1152,2785,3073,526,2461,296,6554,1884,4208,1966,356,3091,88,2679,1156,774,80,13460,6793
"Chardon, OH",chardon,ohio,"Counter({'Restaurants': 62008248947056078686, 'Food': 29327705618890466834, 'Shopping': 27077559532557337448, 'Nightlife': 16805233534542196297, 'Beauty & Spas': 14270877858548448206, 'Automotive': 12764159017337699727, 'Home Services': 11382427204709302951, 'Event Planning & Services': 10744158659144138259, 'Local Services': 9987694497475336232, 'Health & Medical': 8984991802322807593, 'Active Life': 8033131547815078861, 'Hotels & Travel': 6235422154761289293, 'Arts & Entertainment': 5920907705516441313, 'Pets': 4619259890214205632, 'Professional Services': 2680157717296286896, 'Education': 1976409547225125525, 'Local Flavor': 1080998104777119498, 'Financial Services': 1055904036681433953, 'Religious Organizations': 370989591458091261, 'Mass Media': 158874669916307913})",41.588312,-81.218352,chardon,8.03313E+18,5.92091E+18,1.27642E+19,1.42709E+19,1.97641E+18,1.07442E+19,1.0559E+18,2.93277E+19,8.98499E+18,1.13824E+19,6.23542E+18,1.081E+18,9.98769E+18,1.58875E+17,1.68052E+19,4.61926E+18,2.68016E+18,3.7099E+17,6.20082E+19,2.70776E+19
"Highland Heights, OH",highland heights,ohio,"Counter({'Restaurants': 163938789056000648720, 'Food': 77537241037993496086, 'Shopping': 71588254719939732837, 'Nightlife': 44430050553570896594, 'Beauty & Spas': 37729664595014557575, 'Automotive': 33746167778536484417, 'Home Services': 30093114450810754110, 'Event Planning & Services': 28405645860271525443, 'Local Services': 26405689068488883299, 'Health & Medical': 23754721359872597411, 'Active Life': 21238172027738056630, 'Hotels & Travel': 16485347911974058174, 'Arts & Entertainment': 15653827609024563414, 'Pets': 12212502136341146963, 'Professional Services': 7085860641344732565, 'Education': 5225275561763533897, 'Local Flavor': 2857966855672679733, 'Financial Services': 2791622599772031251, 'Religious Organizations': 980830541238943819, 'Mass Media': 420036389351815283})",41.456679,-81.493769,highland heights,2.12382E+19,1.56538E+19,3.37462E+19,3.77297E+19,5.22528E+18,2.84056E+19,2.79162E+18,7.75372E+19,2.37547E+19,3.00931E+19,1.64853E+19,2.85797E+18,2.64057E+19,4.20036E+17,4.44301E+19,1.22125E+19,7.08586E+18,9.80831E+17,1.63939E+20,7.15883E+19
"Stallings, NC",stallings,north carolina,"Counter({'Restaurants': 36235050671, 'Shopping': 20158364835, 'Food': 18805641987, 'Beauty & Spas': 12800221633, 'Home Services': 11887702716, 'Health & Medical': 9625249091, 'Automotive': 9541338336, 'Local Services': 8740914318, 'Nightlife': 7478586889, 'Event Planning & Services': 6927319097, 'Active Life': 6460113234, 'Hotels & Travel': 3823051330, 'Arts & Entertainment': 3466917812, 'Pets': 3427071508, 'Professional Services': 2992334374, 'Education': 1821523205, 'Financial Services': 1234256971, 'Local Flavor': 976023780, 'Religious Organizations': 359291785, 'Mass Media': 97827518})",35.093356,-80.6685824,stallings,6460113234,3466917812,9541338336,12800221633,1821523205,6927319097,1234256971,18805641987,9625249091,11887702716,3823051330,976023780,8740914318,97827518,7478586889,3427071508,2992334374,359291785,36235050671,20158364835
"Chagrin Falls, OH",chagrin falls,ohio,"Counter({'Restaurants': 289623614026791270999, 'Food': 136981711896255461060, 'Shopping': 126471893401486884281, 'Nightlife': 78492661113427152075, 'Beauty & Spas': 66655377162106289357, 'Automotive': 59617904510905598200, 'Home Services': 53164212171827346604, 'Event Planning & Services': 50183033924977475048, 'Local Services': 46649796200891978278, 'Health & Medical': 41966445464566177940, 'Active Life': 37520565897891291588, 'Hotels & Travel': 29123955765733944158, 'Arts & Entertainment': 27654944577694675040, 'Pets': 21575302741981158442, 'Professional Services': 12518285509205654554, 'Education': 9231269800137871446, 'Local Flavor': 5049047234489234233, 'Financial Services': 4931839688462396551, 'Religious Organizations': 1732791170028948037, 'Mass Media': 742060239723272874})",41.4108228,-81.3359066,chagrin falls,3.75206E+19,2.76549E+19,5.96179E+19,6.66554E+19,9.23127E+18,5.0183E+19,4.93184E+18,1.36982E+20,4.19664E+19,5.31642E+19,2.9124E+19,5.04905E+18,4.66498E+19,7.4206E+17,7.84927E+19,2.15753E+19,1.25183E+19,1.73279E+18,2.89624E+20,1.26472E+20
"Pittsburg, PA",pittsburg,pennsylvania,"Counter({'Restaurants': 118646230559376080, 'Food': 59716930784493616, 'Shopping': 54305092235391503, 'Nightlife': 29160926336627551, 'Beauty & Spas': 28186457824880470, 'Automotive': 25015321048643517, 'Home Services': 24701210384288869, 'Local Services': 19720604476371106, 'Health & Medical': 19647615269356846, 'Event Planning & Services': 18828327080871293, 'Active Life': 16580872641522538, 'Arts & Entertainment': 10462182352109268, 'Hotels & Travel': 10129705816147171, 'Pets': 8633462110018109, 'Professional Services': 5392370538831924, 'Education': 4233321924246340, 'Local Flavor': 2965076635213744, 'Financial Services': 2681052014374304, 'Religious Organizations': 1160906909332448, 'Mass Media': 410484478579424})",40.4047579,-80.0393625,pittsburg,1.65809E+16,1.04622E+16,2.50153E+16,2.81865E+16,4.23332E+15,1.88283E+16,2.68105E+15,5.97169E+16,1.96476E+16,2.47012E+16,1.01297E+16,2.96508E+15,1.97206E+16,4.10484E+14,2.91609E+16,8.63346E+15,5.39237E+15,1.16091E+15,1.18646E+17,5.43051E+16
"Middleburg Heights, OH",middleburg heights,ohio,"Counter({'Restaurants': 555535029865811942429, 'Food': 262748393859614980164, 'Shopping': 242589221580122656793, 'Nightlife': 150558934852118001670, 'Beauty & Spas': 127853514524001116401, 'Automotive': 114354744430264509794, 'Home Services': 101975739429646168981, 'Event Planning & Services': 96257459337174534498, 'Local Services': 89480258758525943122, 'Health & Medical': 80496994738707082326, 'Active Life': 71969230708995961086, 'Hotels & Travel': 55863461584423527572, 'Arts & Entertainment': 53045710770274914413, 'Pets': 41384182340953186278, 'Professional Services': 24011668170061695249, 'Education': 17706752819003738526, 'Local Flavor': 9684716543680625792, 'Financial Services': 9459897521926103129, 'Religious Organizations': 3323714461708920003, 'Mass Media': 1423366181041985956})",41.3521579,-81.7855489,middleburg heights,7.19692E+19,5.30457E+19,1.14355E+20,1.27854E+20,1.77068E+19,9.62575E+19,9.4599E+18,2.62748E+20,8.0497E+19,1.01976E+20,5.58635E+19,9.68472E+18,8.94803E+19,1.42337E+18,1.50559E+20,4.13842E+19,2.40117E+19,3.32371E+18,5.55535E+20,2.42589E+20
"Barberton, OH",barberton,ohio,"Counter({'Restaurants': 1063212329943774356496, 'Food': 502861776496693168484, 'Shopping': 464280086096009933291, 'Nightlife': 288147654625198609456, 'Beauty & Spas': 244692820003444503481, 'Automotive': 218858159664916998934, 'Home Services': 195166565001170745095, 'Event Planning & Services': 184222618042764897003, 'Local Services': 171252053037238917010, 'Health & Medical': 154059407109368712636, 'Active Life': 137738521160142588187, 'Hotels & Travel': 106914448156844627395, 'Arts & Entertainment': 101521687579648367831, 'Pets': 79203237535121624979, 'Professional Services': 45954800846842440032, 'Education': 33888120295454363911, 'Local Flavor': 18535122877379847564, 'Financial Services': 18104852339817085407, 'Religious Organizations': 6361100573180671856, 'Mass Media': 2724113498431176098})",41.065847,-81.639154,barberton,1.37739E+20,1.01522E+20,2.18858E+20,2.44693E+20,3.38881E+19,1.84223E+20,1.81049E+19,5.02862E+20,1.54059E+20,1.95167E+20,1.06914E+20,1.85351E+19,1.71252E+20,2.72411E+18,2.88148E+20,7.92032E+19,4.59548E+19,6.3611E+18,1.06321E+21,4.6428E+20
"Sainte-Marguerite-Esterel, QC",saintemargueriteesterel,QC,"Counter({'Restaurants': 69442797644, 'Food': 25498004011, 'Shopping': 11447787136, 'Nightlife': 10265653260, 'Event Planning & Services': 6075096346, 'Hotels & Travel': 4869232816, 'Beauty & Spas': 4781603743, 'Active Life': 3636466547, 'Arts & Entertainment': 3374920001, 'Health & Medical': 2139139985, 'Local Services': 1969413061, 'Home Services': 1687736567, 'Automotive': 1576705752, 'Pets': 848049521, 'Local Flavor': 839289799, 'Education': 696787415, 'Professional Services': 495407085, 'Financial Services': 157449466, 'Religious Organizations': 118074003, 'Mass Media': 58984499})",46.0312971,-74.056695,saintemargueriteesterel,3636466547,3374920001,1576705752,4781603743,696787415,6075096346,157449466,25498004011,2139139985,1687736567,4869232816,839289799,1969413061,58984499,10265653260,848049521,495407085,118074003,69442797644,11447787136
"Saint-Pie, QC",saintpie,QC,"Counter({'Restaurants': 20820040652, 'Food': 7644702119, 'Shopping': 3432226338, 'Nightlife': 3077804108, 'Event Planning & Services': 1821409222, 'Hotels & Travel': 1459872500, 'Beauty & Spas': 1433599827, 'Active Life': 1090269650, 'Arts & Entertainment': 1011854005, 'Health & Medical': 641347755, 'Local Services': 590460970, 'Home Services': 506009896, 'Automotive': 472721155, 'Pets': 254258548, 'Local Flavor': 251632243, 'Education': 208907793, 'Professional Services': 148530836, 'Financial Services': 47205827, 'Religious Organizations': 35400437, 'Mass Media': 17684472})",45.5034134,-72.9119819,saintpie,1090269650,1011854005,472721155,1433599827,208907793,1821409222,47205827,7644702119,641347755,506009896,1459872500,251632243,590460970,17684472,3077804108,254258548,148530836,35400437,20820040652,3432226338
"Sainte-Geneviève, QC",saintegeneviève,QC,"Counter({'Restaurants': 993097068321, 'Food': 364645346928, 'Shopping': 163714082010, 'Nightlife': 146808459686, 'Event Planning & Services': 86879569789, 'Hotels & Travel': 69634591418, 'Beauty & Spas': 68381413506, 'Active Life': 52004878729, 'Arts & Entertainment': 48264518010, 'Health & Medical': 30591706050, 'Local Services': 28164451999, 'Home Services': 24136214340, 'Automotive': 22548369672, 'Pets': 12127902771, 'Local Flavor': 12002630361, 'Education': 9964712803, 'Professional Services': 7084785499, 'Financial Services': 2251674891, 'Religious Organizations': 1688568873, 'Mass Media': 843533613})",45.4844126,-73.8665884,saintegeneviève,52004878729,48264518010,22548369672,68381413506,9964712803,86879569789,2251674891,3.64645E+11,30591706050,24136214340,69634591418,12002630361,28164451999,843533613,1.46808E+11,12127902771,7084785499,1688568873,9.93097E+11,1.63714E+11
"Plum, PA",plum,pennsylvania,"Counter({'Restaurants': 237292461118752159, 'Food': 119433861568987228, 'Shopping': 108610184470783005, 'Nightlife': 58321852673255102, 'Beauty & Spas': 56372915649760940, 'Automotive': 50030642097287032, 'Home Services': 49402420768577737, 'Local Services': 39441208952742211, 'Health & Medical': 39295230538713692, 'Event Planning & Services': 37656654161742584, 'Active Life': 33161745283045076, 'Arts & Entertainment': 20924364704218535, 'Hotels & Travel': 20259411632294342, 'Pets': 17266924220036218, 'Professional Services': 10784741077663848, 'Education': 8466643848492680, 'Local Flavor': 5930153270427488, 'Financial Services': 5362104028748608, 'Religious Organizations': 2321813818664896, 'Mass Media': 820968957158848})",40.4581603,-79.7082726,plum,3.31617E+16,2.09244E+16,5.00306E+16,5.63729E+16,8.46664E+15,3.76567E+16,5.3621E+15,1.19434E+17,3.92952E+16,4.94024E+16,2.02594E+16,5.93015E+15,3.94412E+16,8.20969E+14,5.83219E+16,1.72669E+16,1.07847E+16,2.32181E+15,2.37292E+17,1.0861E+17
"Middlefield, OH",middlefield,ohio,"Counter({'Restaurants': 577579840152867449274, 'Food': 273174808368997965925, 'Shopping': 252215677302832124872, 'Nightlife': 156533433267885269757, 'Beauty & Spas': 132927013620709347753, 'Automotive': 118892583649869216333, 'Home Services': 106022353430120141625, 'Event Planning & Services': 100077159834395359779, 'Local Services': 93031025537795316354, 'Health & Medical': 83691286515628920088, 'Active Life': 74825122690943592092, 'Hotels & Travel': 58080242428836475675, 'Arts & Entertainment': 55150677275727114758, 'Pets': 43026394621988365252, 'Professional Services': 24964502178769596958, 'Education': 18409394391019577005, 'Local Flavor': 10069026672496448302, 'Financial Services': 9835286354303230130, 'Religious Organizations': 3455606513186592139, 'Mass Media': 1479848375220956160})",41.4628422,-81.0906965,middlefield,7.48251E+19,5.51507E+19,1.18893E+20,1.32927E+20,1.84094E+19,1.00077E+20,9.83529E+18,2.73175E+20,8.36913E+19,1.06022E+20,5.80802E+19,1.0069E+19,9.3031E+19,1.47985E+18,1.56533E+20,4.30264E+19,2.49645E+19,3.45561E+18,5.7758E+20,2.52216E+20
"South Euclid, OH",south euclid,ohio,"Counter({'Restaurants': 1750616062157180106196, 'Food': 827979396200717362538, 'Shopping': 764453301724193685234, 'Nightlife': 474445130340493119861, 'Beauty & Spas': 402895234496778699432, 'Automotive': 360357568148052215830, 'Home Services': 321348533933161591793, 'Event Planning & Services': 303328944817039850743, 'Local Services': 281972458634143995088, 'Health & Medical': 253664169438605085267, 'Active Life': 226791263353269148309, 'Hotels & Travel': 176038355602912715545, 'Arts & Entertainment': 167158987841717963254, 'Pets': 130410883977583262238, 'Professional Services': 75666177140713797180, 'Education': 55797968133678952449, 'Local Flavor': 30518724162006579917, 'Financial Services': 29810268764230822544, 'Religious Organizations': 10473773227400601680, 'Mass Media': 4485347574689097793})",41.5024009,-81.5393635,south euclid,2.26791E+20,1.67159E+20,3.60358E+20,4.02895E+20,5.5798E+19,3.03329E+20,2.98103E+19,8.27979E+20,2.53664E+20,3.21349E+20,1.76038E+20,3.05187E+19,2.81972E+20,4.48535E+18,4.74445E+20,1.30411E+20,7.56662E+19,1.04738E+19,1.75062E+21,7.64453E+20
"Midland, NC",midland,north carolina,"Counter({'Restaurants': 72494812615, 'Shopping': 40330477121, 'Food': 37624108998, 'Beauty & Spas': 25609172836, 'Home Services': 23783512181, 'Health & Medical': 19257062295, 'Automotive': 19089183010, 'Local Services': 17487789480, 'Nightlife': 14962274201, 'Event Planning & Services': 13859362444, 'Active Life': 12924632101, 'Hotels & Travel': 7648709929, 'Arts & Entertainment': 6936200137, 'Pets': 6856479971, 'Professional Services': 5986709444, 'Education': 3644288692, 'Financial Services': 2469355682, 'Local Flavor': 1952713218, 'Religious Organizations': 718828588, 'Mass Media': 195721753})",35.25184014,-80.58419124,midland,12924632101,6936200137,19089183010,25609172836,3644288692,13859362444,2469355682,37624108998,19257062295,23783512181,7648709929,1952713218,17487789480,195721753,14962274201,6856479971,5986709444,718828588,72494812615,40330477121
"Milton, ON",milton,ON,"Counter({'Restaurants': 5023148601739, 'Food': 2439850657984, 'Shopping': 1769811683453, 'Beauty & Spas': 1135070727605, 'Nightlife': 858280578054, 'Health & Medical': 569140124918, 'Event Planning & Services': 551306128850, 'Local Services': 509347298390, 'Active Life': 466710575924, 'Automotive': 431582684296, 'Home Services': 339275876913, 'Arts & Entertainment': 302565802386, 'Hotels & Travel': 282717122905, 'Pets': 202568638349, 'Professional Services': 157254562088, 'Education': 140826046335, 'Local Flavor': 67715471173, 'Financial Services': 57919507622, 'Mass Media': 11376719931, 'Religious Organizations': 10304283191})",43.5205072,-79.8029674,milton,4.66711E+11,3.02566E+11,4.31583E+11,1.13507E+12,1.40826E+11,5.51306E+11,57919507622,2.43985E+12,5.6914E+11,3.39276E+11,2.82717E+11,67715471173,5.09347E+11,11376719931,8.58281E+11,2.02569E+11,1.57255E+11,10304283191,5.02315E+12,1.76981E+12
"De Forest, WI",de forest,wisconsin,"Counter({'Restaurants': 4238753, 'Shopping': 2433254, 'Food': 2363589, 'Home Services': 1245028, 'Nightlife': 1199155, 'Beauty & Spas': 1133385, 'Local Services': 895686, 'Automotive': 892533, 'Event Planning & Services': 884793, 'Health & Medical': 795283, 'Active Life': 750052, 'Arts & Entertainment': 442380, 'Hotels & Travel': 434998, 'Pets': 381541, 'Professional Services': 340575, 'Education': 183691, 'Financial Services': 152218, 'Local Flavor': 141976, 'Mass Media': 33358, 'Religious Organizations': 16896})",43.249921,-89.384217,de forest,750052,442380,892533,1133385,183691,884793,152218,2363589,795283,1245028,434998,141976,895686,33358,1199155,381541,340575,16896,4238753,2433254
"Monticello, IL",monticello,illinois,"Counter({'Restaurants': 26889, 'Shopping': 13579, 'Food': 13094, 'Home Services': 8410, 'Local Services': 6181, 'Beauty & Spas': 6144, 'Automotive': 5568, 'Nightlife': 5354, 'Event Planning & Services': 4921, 'Hotels & Travel': 3931, 'Health & Medical': 3768, 'Active Life': 2905, 'Pets': 2309, 'Arts & Entertainment': 2302, 'Professional Services': 1548, 'Education': 1052, 'Local Flavor': 712, 'Financial Services': 592, 'Mass Media': 176, 'Religious Organizations': 160})",40.049686,-88.567102,monticello,2905,2302,5568,6144,1052,4921,592,13094,3768,8410,3931,712,6181,176,5354,2309,1548,160,26889,13579
"Willoughby Hills, OH",willoughby hills,ohio,"Counter({'Restaurants': 3501230082533406345678, 'Food': 1655957826711356852168, 'Shopping': 1528905711850152089150, 'Nightlife': 948889707325483749663, 'Beauty & Spas': 805789999088228599377, 'Automotive': 720714716003365672702, 'Home Services': 642696693070655347433, 'Event Planning & Services': 606657535855044042801, 'Local Services': 563944588397778894405, 'Health & Medical': 507328043023264188878, 'Active Life': 453582262195037425147, 'Hotels & Travel': 352076505888526348583, 'Arts & Entertainment': 334317780722333374306, 'Pets': 260821615854163413658, 'Professional Services': 151332266030346914362, 'Education': 111595871188994317923, 'Local Flavor': 61037412729372467889, 'Financial Services': 59620502760107634700, 'Religious Organizations': 20947534239015484558, 'Mass Media': 8970689918021391810})",41.5851482,-81.4816188,willoughby hills,4.53582E+20,3.34318E+20,7.20715E+20,8.0579E+20,1.11596E+20,6.06658E+20,5.96205E+19,1.65596E+21,5.07328E+20,6.42697E+20,3.52077E+20,6.10374E+19,5.63945E+20,8.97069E+18,9.4889E+20,2.60822E+20,1.51332E+20,2.09475E+19,3.50123E+21,1.52891E+21
"Aurora, OH",aurora,ohio,"Counter({'Restaurants': 8027406504368581806490, 'Food': 3796678971604253307007, 'Shopping': 3505381642040398291826, 'Nightlife': 2175556369891983295708, 'Beauty & Spas': 1847466098302120434923, 'Automotive': 1652410685005124583082, 'Home Services': 1473535726780484000925, 'Event Planning & Services': 1390907348117854332315, 'Local Services': 1292977710774196393844, 'Health & Medical': 1163170753253311593785, 'Active Life': 1039945709359396087849, 'Hotels & Travel': 807219510509833271859, 'Arts & Entertainment': 766503390018476853294, 'Pets': 597995871803052074870, 'Professional Services': 346965377315003314606, 'Education': 255860198023608133116, 'Local Flavor': 139942852198694063920, 'Financial Services': 136694247555393636233, 'Religious Organizations': 48027227184990940174, 'Mass Media': 20567449981605550176})",41.3111729,-81.34596,aurora,1.03995E+21,7.66503E+20,1.65241E+21,1.84747E+21,2.5586E+20,1.39091E+21,1.36694E+20,3.79668E+21,1.16317E+21,1.47354E+21,8.0722E+20,1.39943E+20,1.29298E+21,2.05674E+19,2.17556E+21,5.97996E+20,3.46965E+20,4.80272E+19,8.02741E+21,3.50538E+21
"Kahnawake, QC",kahnawake,QC,"Counter({'Restaurants': 1987279852219, 'Food': 729689347360, 'Shopping': 327607146585, 'Nightlife': 293777419730, 'Event Planning & Services': 173854121707, 'Hotels & Travel': 139345311809, 'Beauty & Spas': 136837585800, 'Active Life': 104066612302, 'Arts & Entertainment': 96581801838, 'Health & Medical': 61216856882, 'Local Services': 56359695175, 'Home Services': 48298815870, 'Automotive': 45121390656, 'Pets': 24269064509, 'Local Flavor': 24018382734, 'Education': 19940319639, 'Professional Services': 14177316550, 'Financial Services': 4505811462, 'Religious Organizations': 3378983792, 'Mass Media': 1687989420})",45.375821,-73.706218,kahnawake,1.04067E+11,96581801838,45121390656,1.36838E+11,19940319639,1.73854E+11,4505811462,7.29689E+11,61216856882,48298815870,1.39345E+11,24018382734,56359695175,1687989420,2.93777E+11,24269064509,14177316550,3378983792,1.98728E+12,3.27607E+11
"Robinson Township, PA",robinson township,pennsylvania,"Counter({'Restaurants': 474584922237504307, 'Food': 238867723137974453, 'Shopping': 217220368941566010, 'Nightlife': 116643705346510203, 'Beauty & Spas': 112745831299521880, 'Automotive': 100061284194574061, 'Home Services': 98804841537155474, 'Local Services': 78882417905484422, 'Health & Medical': 78590461077427382, 'Event Planning & Services': 75313308323485167, 'Active Life': 66323490566090152, 'Arts & Entertainment': 41848729408437070, 'Hotels & Travel': 40518823264588683, 'Pets': 34533848440072435, 'Professional Services': 21569482155327696, 'Education': 16933287696985360, 'Local Flavor': 11860306540854976, 'Financial Services': 10724208057497216, 'Religious Organizations': 4643627637329792, 'Mass Media': 1641937914317696})",40.4444484,-80.1504261,robinson township,6.63235E+16,4.18487E+16,1.00061E+17,1.12746E+17,1.69333E+16,7.53133E+16,1.07242E+16,2.38868E+17,7.85905E+16,9.88048E+16,4.05188E+16,1.18603E+16,7.88824E+16,1.64194E+15,1.16644E+17,3.45338E+16,2.15695E+16,4.64363E+15,4.74585E+17,2.1722E+17
"Millvale, PA",millvale,pennsylvania,"Counter({'Restaurants': 949169844475008606, 'Food': 477735446275948904, 'Shopping': 434440737883132015, 'Nightlife': 233287410693020403, 'Beauty & Spas': 225491662599043759, 'Automotive': 200122568389148119, 'Home Services': 197609683074310947, 'Local Services': 157764835810968843, 'Health & Medical': 157180922154854764, 'Event Planning & Services': 150626616646970332, 'Active Life': 132646981132180303, 'Arts & Entertainment': 83697458816874138, 'Hotels & Travel': 81037646529177366, 'Pets': 69067696880144869, 'Professional Services': 43138964310655391, 'Education': 33866575393970719, 'Local Flavor': 23720613081709952, 'Financial Services': 21448416114994432, 'Religious Organizations': 9287255274659584, 'Mass Media': 3283875828635392})",40.483943,-79.9731601,millvale,1.32647E+17,8.36975E+16,2.00123E+17,2.25492E+17,3.38666E+16,1.50627E+17,2.14484E+16,4.77735E+17,1.57181E+17,1.9761E+17,8.10376E+16,2.37206E+16,1.57765E+17,3.28388E+15,2.33287E+17,6.90677E+16,4.3139E+16,9.28726E+15,9.4917E+17,4.34441E+17
"Lyndhurst, OH",lyndhurst,ohio,"Counter({'Restaurants': 15029868710157382241866, 'Food': 7108595590216191410821, 'Shopping': 6563193956876511878035, 'Nightlife': 4073336337611456424185, 'Beauty & Spas': 3459046566140190848828, 'Automotive': 3093840537086610588963, 'Home Services': 2758929487523075413681, 'Event Planning & Services': 2604222773423491198615, 'Local Services': 2420867216269695160730, 'Health & Medical': 2177827135000341817382, 'Active Life': 1947110498123783379538, 'Hotels & Travel': 1511372727497697593861, 'Arts & Entertainment': 1435139146323129920521, 'Pets': 1119639255533495090989, 'Professional Services': 649629997581006554344, 'Education': 479052005446207576864, 'Local Flavor': 262017713233618594117, 'Financial Services': 255935287825930370533, 'Religious Organizations': 89922307872471932147, 'Mass Media': 38508835046291903658})",41.5030092,-81.5013456,lyndhurst,1.94711E+21,1.43514E+21,3.09384E+21,3.45905E+21,4.79052E+20,2.60422E+21,2.55935E+20,7.1086E+21,2.17783E+21,2.75893E+21,1.51137E+21,2.62018E+20,2.42087E+21,3.85088E+19,4.07334E+21,1.11964E+21,6.4963E+20,8.99223E+19,1.50299E+22,6.56319E+21
"Anjou, QC",anjou,QC,"Counter({'Restaurants': 3971382506780, 'Food': 1458212091276, 'Shopping': 654690525620, 'Nightlife': 587085157754, 'Event Planning & Services': 347430291170, 'Hotels & Travel': 278467842884, 'Beauty & Spas': 273456400193, 'Active Life': 207966846366, 'Arts & Entertainment': 193009191868, 'Health & Medical': 122335842263, 'Local Services': 112629284313, 'Home Services': 96520413187, 'Automotive': 90170642703, 'Pets': 48499328437, 'Local Flavor': 47998365675, 'Education': 39848759358, 'Professional Services': 28331966866, 'Financial Services': 9004419178, 'Religious Organizations': 6752565377, 'Mass Media': 3373280141})",45.597492,-73.566159,anjou,2.07967E+11,1.93009E+11,90170642703,2.73456E+11,39848759358,3.4743E+11,9004419178,1.45821E+12,1.22336E+11,96520413187,2.78468E+11,47998365675,1.12629E+11,3373280141,5.87085E+11,48499328437,28331966866,6752565377,3.97138E+12,6.54691E+11
"Uxbridge, ON",uxbridge,ON,"Counter({'Restaurants': 6785829949232, 'Food': 3296022668971, 'Shopping': 2390859212904, 'Beauty & Spas': 1533380264774, 'Nightlife': 1159461228042, 'Health & Medical': 768858022433, 'Event Planning & Services': 744765868451, 'Local Services': 688083196400, 'Active Life': 630484752388, 'Automotive': 583030075565, 'Home Services': 458331732641, 'Arts & Entertainment': 408739665807, 'Hotels & Travel': 381925852440, 'Pets': 273652333388, 'Professional Services': 212437018700, 'Education': 190243545708, 'Local Flavor': 91477618523, 'Financial Services': 78244137257, 'Mass Media': 15368943434, 'Religious Organizations': 13920176094})",44.019465,-79.1358688,uxbridge,6.30485E+11,4.0874E+11,5.8303E+11,1.53338E+12,1.90244E+11,7.44766E+11,78244137257,3.29602E+12,7.68858E+11,4.58332E+11,3.81926E+11,91477618523,6.88083E+11,15368943434,1.15946E+12,2.73652E+11,2.12437E+11,13920176094,6.78583E+12,2.39086E+12
"Norval, ON",norval,ON,"Counter({'Restaurants': 10862985903074, 'Food': 5276384475876, 'Shopping': 3827368228751, 'Beauty & Spas': 2454686948345, 'Nightlife': 1856104717994, 'Health & Medical': 1230813906470, 'Event Planning & Services': 1192246373791, 'Local Services': 1101506835670, 'Active Life': 1009301298642, 'Automotive': 933334246644, 'Home Services': 733712927869, 'Arts & Entertainment': 654324270731, 'Hotels & Travel': 611399813888, 'Pets': 438071902136, 'Professional Services': 340076359699, 'Education': 304548297723, 'Local Flavor': 146440463339, 'Financial Services': 125255859350, 'Mass Media': 24603124058, 'Religious Organizations': 22283888433})",43.6469984,-79.8575043,norval,1.0093E+12,6.54324E+11,9.33334E+11,2.45469E+12,3.04548E+11,1.19225E+12,1.25256E+11,5.27638E+12,1.23081E+12,7.33713E+11,6.114E+11,1.4644E+11,1.10151E+12,24603124058,1.8561E+12,4.38072E+11,3.40076E+11,22283888433,1.0863E+13,3.82737E+12
